,ticker,name,sector,industry,date_added,date_removed,reason_removed,is_in_index
206,FTV,Fortive,Industrials,Industrial Machinery,2016-07-01,,,True
207,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01,,,True
208,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18,,,True
209,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,1998-04-30,,,True
210,FCX,Freeport-McMoRan,Materials,Copper,,,,True
211,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12,,,True
212,IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05,,,True
213,GEHC,GE HealthCare,Health Care,Health Care Technology,2023-01-04,,,True
214,GEN,Gen Digital,Information Technology,Application Software,2003-03-25,,,True
215,GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22,,,True
216,GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04,,,True
217,GE,General Electric,Industrials,Industrial Conglomerates,1957-03-04,,,True
218,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1957-03-04,,,True
219,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06,,,True
220,GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,1973-12-31,,,True
221,GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01,,,True
222,GL,Globe Life,Financials,Life & Health Insurance,1989-04-30,,,True
223,GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,2016-04-25,,,True
224,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22,,,True
225,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04,,,True
226,HIG,Hartford (The),Financials,Property & Casualty Insurance,1957-03-04,,,True
227,HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30,,,True
228,HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,,,True
229,PEAK,Healthpeak,Real Estate,Health Care REITs,2008-03-31,,,True
230,HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,,,True
231,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957-03-04,,,True
232,HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,,,True
233,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,,,True
234,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,,,True
235,HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,,,True
236,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1988-03-31,,,True
237,HON,Honeywell,Industrials,Industrial Conglomerates,1957-03-04,,,True
238,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04,,,True
239,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,,,True
240,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1957-03-04,,,True
241,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,,,True
242,HUM,Humana,Health Care,Managed Health Care,,,,True
243,HBAN,Huntington Bancshares,Financials,Regional Banks,1997-08-28,,,True
244,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,,,True
245,IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,,,True
246,IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,,,True
247,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,,,True
248,ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,,,True
249,ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,,,True
250,INCY,Incyte,Health Care,Biotechnology,2017-02-28,,,True
251,IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,,,True
252,INTC,Intel,Information Technology,Semiconductors,1976-12-31,,,True
253,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,,,True
254,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,,,True
255,IP,International Paper,Materials,Paper Packaging,1957-03-04,,,True
256,IPG,Interpublic Group of Companies (The),Communication Services,Advertising,1992-10-01,,,True
257,INTU,Intuit,Information Technology,Application Software,2000-12-05,,,True
258,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,,,True
259,IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,,,True
260,INVH,Invitation Homes,Real Estate,Residential REITs,2022-09-19,,,True
261,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,,,True
262,IRM,Iron Mountain,Real Estate,Specialized REITs,2009-01-06,,,True
263,JBHT,J.B. Hunt,Industrials,Trucking,2015-07-01,,,True
264,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,,,True
265,J,Jacobs Solutions,Industrials,Construction & Engineering,2007-10-26,,,True
266,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,,,True
267,JCI,Johnson Controls,Industrials,Building Products,2010-08-27,,,True
268,JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,,,True
269,JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,,,True
270,K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,,,True
271,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,2022-06-21,,,True
272,KEY,KeyCorp,Financials,Regional Banks,1994-03-01,,,True
273,KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018-11-06,,,True
274,KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,,,True
275,KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,,,True
276,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,,,True
277,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,1997-09-30,,,True
278,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,,,True
279,KR,Kroger,Consumer Staples,Food Retail,1957-03-04,,,True
280,LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22,,,True
281,LH,LabCorp,Health Care,Health Care Services,2004-11-01,,,True
282,LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,,,True
283,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,,,True
284,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,,,True
285,LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,,,True
286,LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,,,True
287,LNC,Lincoln Financial,Financials,Multi-line Insurance,1976-06-30,,,True
288,LIN,Linde plc,Materials,Industrial Gases,1992-07-01,,,True
289,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,,,True
290,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,,,True
291,LMT,Lockheed Martin,Industrials,Aerospace & Defense,1957-03-04,,,True
292,L,Loews Corporation,Financials,Multi-line Insurance,1995-05-31,,,True
293,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,,,True
294,LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25,,,True
295,LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,,,True
296,MTB,M&T Bank,Financials,Regional Banks,2004-02-23,,,True
297,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1957-03-04,,,True
298,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,,,True
299,MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,,,True
300,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-05-29,,,True
301,MMC,Marsh McLennan,Financials,Insurance Brokers,1987-08-31,,,True
302,MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,,,True
303,MAS,Masco,Industrials,Building Products,1981-06-30,,,True
304,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008-07-18,,,True
305,MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,,,True
306,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,,,True
